title,author_name,rating,ratings,year
One Good Earl Deserves a Lover,Sarah MacLean,4.03,29368,2013
The Night Circus,Erin Morgenstern,4.03,849454,2011
Playing for Keeps,R.L. Mathewson,4.03,111514,2011
Falling into You,Jasinda Wilder,4.03,53083,2013
The Baller,Vi Keeland,4.03,44153,2016
Saint Anything,Sarah Dessen,4.03,60475,2015
The 5th Wave,Rick Yancey,4.02,433565,2013
The Rosie Project,Graeme Simsion,4.02,516559,2013
Love Unscripted,Tina Reber,4.02,67961,2010
Northern Lights,Nora Roberts,4.02,43218,2004
If the Shoe Fits,Julie   Murphy,4.02,24503,2021
The Other Miss Bridgerton,Julia Quinn,4.02,27367,2018
Never Never,Colleen Hoover,4.02,86589,2015
Virgin River,Robyn Carr,4.02,61829,2007
Bitten,Kelley Armstrong,4.02,99541,2001
Guilty Pleasures,Laurell K. Hamilton,4.02,142203,1993
Worth Any Price,Lisa Kleypas,4.02,19683,2003
The Bridgertons: Happily Ever After,Julia Quinn,4.02,29594,2013
The Proposition,Katie Ashley,4.02,50566,2012
10 Blind Dates,Ashley Elston,4.02,20195,2019
Things You Save in a Fire,Katherine Center,4.02,92697,2019
Unearthly,Cynthia Hand,4.01,126498,2011
From Dead to Worse,Charlaine Harris,4.01,183532,2008
Definitely Dead,Charlaine Harris,4.01,198979,2006
If This Gets Out,Sophie Gonzales,4.01,16385,2021
Club Dead,Charlaine Harris,4.01,230201,2003
Kushiel's Dart,Jacqueline Carey,4.01,77268,2001
The Soldier's Scoundrel,Cat Sebastian,4.01,6225,2016
Naked,Raine Miller,4.01,73497,2012
Starry Eyes,Jenn Bennett,4.01,26572,2018
It Had to Be You,Susan Elizabeth Phillips,4.01,64323,1994
Royally Screwed,Emma Chase,4.01,42073,2016
Only When It's Us,Chloe Liese,4.01,26179,2020
Sugar Daddy,Lisa Kleypas,4.01,42517,2007
The American Roommate Experiment,Elena  Armas,4.01,23341,2022
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,149452,2008
It's in His Kiss,Julia Quinn,4.01,105907,2005
Isla and the Happily Ever After,Stephanie Perkins,4.01,113789,2014
Dead and Gone,Charlaine Harris,4.01,183547,2009
The Girl You Left Behind,Jojo Moyes,4.01,153951,2012
Never Never: Part Two,Colleen Hoover,4.01,55286,2015
One Last Stop,Casey McQuiston,4.01,154210,2021
When He Was Wicked,Julia Quinn,4.01,124412,2004
The Sun Is Also a Star,Nicola Yoon,4.01,281659,2016
The Heart Principle,Helen Hoang,4.01,82190,2021
Vicious,L.J. Shen,4.01,111719,2016
Wallbanger,Alice Clayton,4.01,198768,2012
A Discovery of Witches,Deborah Harkness,4.01,445677,2011
The Fine Print,Lauren Asher,4.01,118844,2021
Leo,Mia Sheridan,4.0,38850,2013
I Capture the Castle,Dodie Smith,4.0,95848,1948
Float Plan,Trish Doller,4.0,21703,2021
The Problem with Forever,Jennifer L. Armentrout,4.0,52500,2016
Crescendo,Becca Fitzpatrick,4.0,307676,2010
Leaving Paradise,Simone Elkeles,4.0,42404,2007
Spin the Dawn,Elizabeth Lim,4.0,44639,2019
Forever My Girl,Heidi McLaughlin,4.0,51233,2012
Forbidden,Tabitha Suzuma,4.0,67402,2010
The Unexpected Everything,Morgan Matson,4.0,38823,2016
The Price of Salt,Patricia Highsmith,4.0,58301,1952
The Duchess Deal,Tessa Dare,4.0,48340,2017
Birthday Girl,Penelope Douglas,4.0,155589,2018
"Everything, Everything",Nicola Yoon,4.0,539107,2015
Idol,Kristen Callihan,4.0,33894,2016
Lock and Key,Sarah Dessen,4.0,147313,2008
Eleven Scandals to Start to Win a Duke's Heart,Sarah MacLean,4.0,26960,2011
Backstage Pass,Olivia Cunning,4.0,60233,2010
Broken Prince,Erin Watt,4.0,85058,2016
Ella Enchanted,Gail Carson Levine,3.99,403722,1997
Under the Never Sky,Veronica Rossi,3.99,113454,2011
After I Do,Taylor Jenkins Reid,3.99,74312,2014
Ten Things I Love About You,Julia Quinn,3.99,24867,2010
Changeless,Gail Carriger,3.99,44786,2010
Blameless,Gail Carriger,3.99,39484,2010
Insurgent,Veronica Roth,3.99,1367875,2012
The Switch,Beth O'Leary,3.99,95605,2020
Daughter of Smoke & Bone,Laini Taylor,3.99,352283,2011
Where She Went,Lisa Kleypas,3.99,282137,2011
Only Mostly Devastated,Sophie Gonzales,3.99,23451,2020
The Last Letter from Your Lover,Jojo Moyes,3.99,109017,2008
Dark Prince,Christine Feehan,3.99,55659,1999
Flat-Out Love,Jessica Park,3.99,58622,2011
The Secret of Ella and Micha,Jessica Sorensen,3.99,70471,2012
The Best Thing,Mariana Zapata,3.99,27936,2019
Midnight Bayou,Nora Roberts,3.99,33186,2001
The Villa,Nora Roberts,3.99,28231,2001
Lord of the Fading Lands,C.L. Wilson,3.99,20804,2007
Rapture,Lauren Kate,3.99,112876,2012
A Beautiful Wedding,Jamie McGuire,3.99,62556,2013
One of Us Is Lying,Karen M. McManus,3.99,603338,2017
Wicked,Jennifer L. Armentrout,3.99,44787,2014
Stalking Jack the Ripper,Kerri Maniscalco,3.98,111531,2016
Fangirl,Rainbow Rowell,3.98,695972,2013
The Hating Game,Sally  Thorne,3.98,537504,2016
The Goal,Elle Kennedy,3.98,132250,2016
Looking for Alaska,John Green,3.98,1408442,2005
My Life Next Door,Huntley Fitzpatrick,3.98,147935,2012
History Is All You Left Me,Adam Silvera,3.98,60787,2017
The Silver Linings Playbook,Matthew Quick,3.98,154784,2008
In Bed with a Highlander,Maya Banks,3.98,33404,2011
Under Locke,Mariana Zapata,3.98,70425,2014
Wicked and the Wallflower,Sarah MacLean,3.98,17089,2018
"Alex, Approximately",Jenn Bennett,3.98,44969,2017
My Favorite Mistake,Chelsea M. Cameron,3.98,55970,2012
The Wedding,Nicholas Sparks,3.98,151092,2003
Rhapsodic,Laura Thalassa,3.98,88341,2016
Bringing Down the Duke,Evie Dunmore,3.97,63015,2019
The Spanish Love Deception,Elena  Armas,3.97,377868,2021
Eleanor & Park,Rainbow Rowell,3.97,1066165,2012
Message in a Bottle,Nicholas Sparks,3.97,227762,1998
The Sky Is Everywhere,Jandy Nelson,3.97,102011,2010
The Hook Up,Kristen Callihan,3.97,53050,2014
The Elite,Kiera Cass,3.97,645722,2013
Crash,Nicole  Williams,3.97,60399,2012
Warprize,Elizabeth Vaughan,3.97,18725,2005
Flipped,Wendelin Van Draanen,3.97,109473,2001
Kingdom of the Wicked,Kerri Maniscalco,3.96,148866,2020
Beyond the Highland Mist,Karen Marie Moning,3.96,69756,1999
Hands Down,Mariana Zapata,3.96,32373,2020
Lady Sophia's Lover,Lisa Kleypas,3.96,19157,2002
Tweet Cute,Emma Lord,3.96,52886,2020
Romancing Mister Bridgerton,Julia Quinn,3.96,188360,2002
The Winner's Curse,Marie Rutkoski,3.96,105328,2014
This is How You Lose the Time War,Amal El-Mohtar,3.96,100491,2019
The Kiss of Deception,Mary E. Pearson,3.96,116655,2014
Practice Makes Perfect,Julie James,3.96,31107,2009
Living Dead in Dallas,Charlaine Harris,3.96,245842,2002
The Best of Me,Nicholas Sparks,3.96,161814,2010
The Year We Fell Down,Sarina Bowen,3.96,28236,2014
Tokyo Ever After,Emiko Jean,3.96,31215,2021
The Girl He Used to Know,Tracey Garvis Graves,3.96,42169,2019
Friends Without Benefits,Penny Reid,3.96,26016,2013
These Violent Delights,Chloe Gong,3.96,95723,2020
Beautiful Bastard,Christina Lauren,3.96,187771,2013
Never Judge a Lady by Her Cover,Sarah MacLean,3.96,19315,2014
The Age of Innocence,Edith Wharton,3.96,158108,1920
You Deserve Each Other,Sarah Hogle,3.95,77084,2020
An Offer From a Gentleman,Julia Quinn,3.95,192481,2001
Paper Princess,Erin Watt,3.95,126593,2016
Shadow and Bone,Leigh Bardugo,3.95,776233,2012
Too Late,Colleen Hoover,3.95,90978,2016
Agnes and the Hitman,Jennifer Crusie,3.95,19791,2007
American Queen,Sierra Simone,3.95,28416,2016
Far From the Madding Crowd,Thomas Hardy,3.95,142383,1874
The Rogue Not Taken,Sarah MacLean,3.95,21806,2015
A Midsummer Night's Dream,William Shakespeare,3.95,498829,1595
One Plus One,Jojo Moyes,3.95,162582,2014
Dark Witch,Nora Roberts,3.95,60592,2013
Like Water for Chocolate,Laura Esquivel,3.95,347670,1989
Just Like Heaven,Julia Quinn,3.95,47800,2011
The Raven Prince,Elizabeth Hoyt,3.95,22313,2006
The Vincent Boys,Abbi Glines,3.95,73664,2011
Dear Aaron,Mariana Zapata,3.95,40646,2017
"Love, Rosie",Cecelia Ahern,3.94,122412,2004
Sins & Needles,Karina Halle,3.94,22475,2013
Blurred Lines,Lauren Layne,3.94,24337,2015
Bully,Penelope Douglas,3.94,161031,2013
I've Got Your Number,Sophie Kinsella,3.94,214926,2011
Something About You,Julie James,3.94,60302,2010
Something Blue,Emily Giffin,3.94,213771,2005
We'll Always Have Summer,Jenny Han,3.94,224027,2011
King's Cage,Victoria Aveyard,3.94,200495,2017
"Hush, Hush",Becca Fitzpatrick,3.94,660659,2009
Welcome to Temptation,Jennifer Crusie,3.94,33011,2000
The Girl with the Make-Believe Husband,Julia Quinn,3.94,31086,2017
Twisted Palace,Erin Watt,3.93,67980,2016
The Queer Principles of Kit Webb,Cat Sebastian,3.93,5949,2021
Bet Me,Jennifer Crusie,3.93,90477,2004
Big Rock,Lauren Blakely,3.93,32326,2016
Rosaline Palmer Takes the Cake,Alexis  Hall,3.93,8614,2021
The Best Man,Kristan Higgins,3.93,27147,2013
Master of Crows,Grace Draven,3.93,16671,2009
Love in the Time of Cholera,Gabriel García Márquez,3.93,466520,1985
Geekerella,Ashley Poston,3.93,59104,2017
Marriage for One,Ella Maise,3.93,60911,2019
A Rogue by Any Other Name,Sarah MacLean,3.93,40424,2012
Dragon Actually,G.A. Aiken,3.92,28733,2004
The Day of the Duchess,Sarah MacLean,3.92,14031,2017
Atonement,Ian McEwan,3.92,485925,2001
Pucked,Helena Hunting,3.92,58892,2015
Lola and the Boy Next Door,Stephanie Perkins,3.92,160612,2011
Polaris Rising,Jessie Mihalik,3.92,10458,2019
All the Feels,Olivia Dade,3.92,15136,2021
The Countess Conspiracy,Courtney Milan,3.92,11711,2013
Kiss of Midnight,Lara Adrian,3.92,64186,2007
Until Friday Night,Abbi Glines,3.92,55583,2015
Knight,Kristen Ashley,3.92,53672,2012
Pestilence,Laura Thalassa,3.92,62447,2018
Hex Hall,Rachel Hawkins,3.92,140304,2010
The Distance Between Us,Kasie West,3.92,75238,2013
The Duke Who Didn't,Courtney Milan,3.92,4475,2020
Lady Isabella's Scandalous Marriage,Jennifer Ashley,3.92,16893,2010
Someone Like You,Sarah Dessen,3.92,101491,1998
Faking It,Jennifer Crusie,3.92,18934,2002
One Week Girlfriend,Monica  Murphy,3.92,52570,2013
Truth or Beard,Penny Reid,3.91,46697,2015
The Chase,Elle Kennedy,3.91,109987,2018
Rush,Maya Banks,3.91,75310,2013
Written in the Stars,Alexandria Bellefleur,3.91,31978,2020
The Upside of Unrequited,Becky Albertalli,3.91,72060,2017
The Heiress Effect,Courtney Milan,3.91,14403,2013
The Bromance Book Club,Lyssa Kay Adams,3.91,77742,2019
The Governess Game,Tessa Dare,3.91,27195,2018
Warm Bodies,Isaac Marion,3.91,102702,2010
Turtles All the Way Down,John Green,3.91,475614,2017
Covet,J.R. Ward,3.91,49252,2009
What I Did for Love,Susan Elizabeth Phillips,3.91,18807,2009
To Catch an Heiress,Julia Quinn,3.91,17815,1998
The Hooker and the Hermit,L.H. Cosway,3.91,26872,2015
Anna Dressed in Blood,Kendare Blake,3.91,103192,2011
The Prince,Kiera Cass,3.91,76240,2013
One to Watch,(Pseudonym),3.91,81435,2020
Brutal Prince,Sophie Lark,3.9,59077,2020
Barbarian Lover,Ruby Dixon,3.9,31023,2015
Shatter Me,Tahereh Mafi,3.9,517418,2011
XOXO,Axie Oh,3.9,16609,2021
A Room with a View,E.M. Forster,3.9,169459,1908
The Friend Zone,Abby Jimenez,3.9,88892,2019
Hooked,Emily McIntire,3.9,57684,2021
Dumplin',Julie   Murphy,3.9,83838,2015
The No-Show,Beth O'Leary,3.9,35240,2022
The Fill-In Boyfriend,Kasie West,3.9,61519,2015
RoomHate,Penelope Ward,3.9,59673,2016
These Broken Stars,Amie Kaufman,3.9,68276,2013
A Quick Bite,Lynsay Sands,3.9,42772,2005
A Thousand Pieces of You,Claudia Gray,3.9,55547,2014
The Perfect Play,Jaci Burton,3.9,38713,2011
Neanderthal Seeks Human,Penny Reid,3.9,60932,2013
Undercover Bromance,Lyssa Kay Adams,3.89,37661,2020
Just One Year,Gayle Forman,3.89,42605,2013
Dead in the Family,Charlaine Harris,3.89,158836,2010
The Falling in Love Montage,Ciara Smyth,3.89,18347,2020
Romancing the Duke,Tessa Dare,3.89,40861,2014
Ayesha at Last,Uzma Jalaluddin,3.89,21810,2018
Grave Mercy,Robin LaFevers,3.89,104570,2012
Crazy Rich Asians,Kevin Kwan,3.89,430349,2013
The Shadows Between Us,Tricia Levenseller,3.89,128699,2020
The Secret Diaries of Miss Miranda Cheever,Julia Quinn,3.89,40314,2007
Soulless,Gail Carriger,3.89,107608,2009
Throttled,Lauren Asher,3.88,67884,2020
Ten Ways to Be Adored When Landing a Lord,Sarah MacLean,3.88,24842,2010
The Iron King,Julie Kagawa,3.88,207758,2010
Attachments,Rainbow Rowell,3.88,190317,2011
Portrait of a Scotsman,Evie Dunmore,3.88,22701,2021
Lolita,Vladimir Nabokov,3.88,763469,1955
The Lover's Dictionary,David Levithan,3.88,44871,2011
A Kiss for Midwinter,Courtney Milan,3.88,9569,2012
Ricochet,Krista Ritchie,3.88,48742,2013
Rainshadow Road,Lisa Kleypas,3.87,15510,2012
Well Matched,(Editor/Contributer),3.87,18109,2021
Bound by Honor,Cora Reilly,3.87,77006,2014
Act Like It,Lucy  Parker,3.87,10804,2015
Don't You Forget About Me,Mhairi McFarlane,3.87,40746,2019
A Night Like This,Julia Quinn,3.87,26914,2012
A Lady by Midnight,Tessa Dare,3.87,18785,2012
The Bride Test,Helen Hoang,3.87,131144,2019
A Wallflower Christmas,Lisa Kleypas,3.87,24035,2008
Love & Other Disasters,Anita Kelly,3.87,11166,2022
A Girl Like Her,Talia Hibbert,3.87,8220,2018
The Unwanted Wife,Natasha Anders,3.87,39577,2012
The Light We Lost,Jill Santopolo,3.87,131246,2017
Mansfield Park,Charlaine Harris,3.86,321831,1814
By Your Side,Kasie West,3.86,47582,2017
What If It's Us,David Nicholls,3.86,121957,2018
Minx,Julia Quinn,3.86,16764,1996
Kiss of Steel,Bec McMaster,3.86,12266,2012
Hang the Moon,Alexandria Bellefleur,3.86,10989,2021
Maybe Not,Colleen Hoover,3.86,76362,2014
Unveiled,Courtney Milan,3.86,9105,2011
Uglies,Scott Westerfeld,3.85,622785,2005
The Host,Stephenie Meyer,3.85,963467,2008
Well Met,Jen DeLuca,3.85,58786,2019
A Touch of Darkness,Scarlett St.  Clair,3.85,142444,2019
To Love Jason Thorn,Ella Maise,3.85,79607,2015
Twenties Girl,Sophie Kinsella,3.85,161930,2009
"To Sir, with Love",Lauren Layne,3.85,18958,2021
The Governess Affair,Courtney Milan,3.85,17261,2012
The Undomestic Goddess,Sophie Kinsella,3.85,282087,2005
Siege and Storm,Leigh Bardugo,3.85,486943,2013
Torment,Lauren Kate,3.85,226778,2010
Breathe,Abbi Glines,3.85,82311,2011
This Time Next Year,Sophie Cousens,3.85,71158,2020
Hearts in Darkness,Laura Kaye,3.85,36815,2011
Everything Leads to You,Nina LaCour,3.85,32061,2014
American Royals,Katharine McGee,3.84,94008,2019
Nights in Rodanthe,Nicholas Sparks,3.84,164417,2002
Evvie Drake Starts Over,Linda  Holmes,3.84,119436,2019
If I Never Met You,Mhairi McFarlane,3.84,53076,2020
Addicted to You,Krista Ritchie,3.84,87419,2013
They Both Die at the End,Adam Silvera,3.84,515457,2017
On the Way to the Wedding,Julia Quinn,3.84,89776,2006
Fifty Shades Freed,E.L. James,3.84,795618,2012
Catching Jordan,Miranda Kenneally,3.84,61749,2011
The Iron Duke,Meljean Brook,3.84,16737,2010
At First Sight,Nicholas Sparks,3.84,84338,2004
The Bookshop on the Corner,Jenny Colgan,3.84,73591,2016
China Rich Girlfriend,Kevin Kwan,3.84,188682,2015
Northanger Abbey,Jane Austen,3.84,356726,1817
Wrong,Jana Aston,3.84,43621,2015
The Summer I Turned Pretty,Jenny Han,3.84,396929,2009
Battle Royal,Lucy  Parker,3.84,8793,2021
Beastly,Alex Flinn,3.83,174950,2007
First Comes Scandal,Julia Quinn,3.83,22463,2020
The Trouble with Hating You,Sajni Patel,3.83,19351,2020
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.83,185180,2006
After We Fell,Anna Todd,3.83,125212,2014
Say Yes to the Marquess,Tessa Dare,3.83,21080,2014
My Killer Vacation,Tessa Bailey,3.83,47186,2022
Normal People,Sally Rooney,3.83,948855,2018
Beautiful Darkness,Kami Garcia,3.83,132770,2010
Fifty Shades Darker,E.L. James,3.83,837476,2011
The Duchess War,Courtney Milan,3.82,26223,2012
Roomies,Christina Lauren,3.82,58406,2017
The Bookish Life of Nina Hill,Abbi Waxman,3.82,87372,2019
Bombshell,Sarah MacLean,3.82,8823,2021
Boy Meets Boy,David Levithan,3.82,72807,2003
Wicked Intentions,Elizabeth Hoyt,3.82,18073,2010
The Boy Next Door,Meg Cabot,3.82,66285,2002
The Duke and I,Julia Quinn,3.82,356433,2000
The Sisterhood of the Traveling Pants,Ann Brashares,3.82,672829,2001
How to Fail at Flirting,Denise  Williams,3.82,24275,2020
The Proposal,Mary Balogh,3.82,11343,2012
Tess of the D’Urbervilles,Thomas Hardy,3.82,264435,1891
Corrupt,Penelope Douglas,3.81,138238,2015
True Believer,Nicholas Sparks,3.81,84084,2003
Crave,Tracy Wolff,3.81,97338,2020
Just Haven't Met You Yet,Sophie Cousens,3.81,35118,2021
Anyone But You,Jennifer Crusie,3.81,20167,1996
Conversations with Friends,Sally Rooney,3.81,338938,2017
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,3.81,190279,2010
Grey,E.L. James,3.81,167773,2015
Maybe in Another Life,Taylor Jenkins Reid,3.81,120415,2015
The Royal We,Heather Cocks,3.81,61552,2015
Remember Me?,Sophie Kinsella,3.8,240254,2008
A Court of Frost and Starlight,Sarah J. Maas,3.8,433701,2018
The Princess Diaries,Meg Cabot,3.8,247084,2000
A Kiss at Midnight,Eloisa James,3.8,19209,2010
To Kill a Kingdom,Alexandra Christo,3.8,136587,2018
The Marriage Bargain,Jennifer Probst,3.8,109486,2010
My Not So Perfect Life,Sophie Kinsella,3.8,111635,2017
Dead Reckoning,Charlaine Harris,3.8,122829,2011
Tools of Engagement,Tessa Bailey,3.79,36814,2020
The Wedding Party,Jasmine Guillory,3.78,44329,2019
A Princess in Theory,Alyssa Cole,3.78,14602,2018
Twisted Love,Ana Huang,3.78,156928,2021
The Statistical Probability of Love at First Sight,Jennifer E. Smith,3.77,113752,2012
Across the Universe,Beth Revis,3.77,117352,2011
Someone to Watch Over Me,Jen DeLuca,3.77,21345,1998
Royals,Rachel Hawkins,3.77,22774,2018
A Deal with the Elf King,Elise Kova,3.77,61780,2020
Firelight,Kristen Callihan,3.77,16432,2012
You've Reached Sam,Dustin Thao,3.77,52535,2021
Once and for All,Sarah Dessen,3.76,33164,2017
Christmas Eve at Friday Harbor,Lisa Kleypas,3.76,19147,2010
Beauty and the Blacksmith,Tessa Dare,3.76,11041,2013
The Legacy,Elle Kennedy,3.76,51832,2021
By the Book,Jasmine Guillory,3.76,16655,2022
Holding Up the Universe,Jennifer Niven,3.76,105375,2016
Beautiful Creatures,Kami Garcia,3.76,578256,2009
The Two Lives of Lydia Bird,Josie Silver,3.76,56854,2020
Dash & Lily's Book of Dares,Rachel Cohn,3.76,90591,2010
Dial A for Aunties,Jesse Q. Sutanto,3.76,58738,2021
The Cheat Sheet,Sarah       Adams,3.76,88916,2021
Priest,Sierra Simone,3.76,58593,2015
While We Were Dating,Jasmine Guillory,3.76,29416,2021
Shiver,Maggie Stiefvater,3.76,465220,2009
"To Sir Phillip, With Love",Julia Quinn,3.76,140654,2003
The Ex Talk,Rachel Lynn Solomon,3.76,57761,2021
A Lot Like Adiós,Alexis Daria,3.75,9457,2021
Mr. Wrong Number,Lynn Painter,3.75,30262,2022
Pride,Ibi Zoboi,3.75,25057,2018
Under One Roof,Ali Hazelwood,3.75,69278,2022
Layla,Colleen Hoover,3.75,198655,2020
Intercepted,Alexa  Martin,3.75,11474,2018
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,3.75,14222,2022
A Night to Surrender,Tessa Dare,3.75,24837,2011
Frankly in Love,David  Yoon,3.75,26164,2019
Trade Me,Courtney Milan,3.75,5305,2015
Neon Gods,Katee Robert,3.74,112532,2021
In a Holidaze,Christina Lauren,3.74,110076,2020
Paper Towns,John Green,3.74,1193459,2008
Accidentally Engaged,Farah Heron,3.74,10617,2021
Something Wilder,Christina Lauren,3.74,42112,2022
A Scot in the Dark,Sarah MacLean,3.74,14277,2016
The Wisteria Society of Lady Scoundrels,India Holton,3.74,15428,2021
The Lost Duke of Wyndham,Julia Quinn,3.74,22186,2008
Romeo and Juliet,William Shakespeare,3.74,2376465,1597
After We Collided,Anna Todd,3.73,163476,2013
We Were Liars,E. Lockhart,3.73,919633,2014
Dating Dr. Dil,Nisha Sharma,3.73,29881,2022
Let's Talk About Love,Claire Kann,3.73,9914,2018
Fight or Flight,Samantha Young,3.73,21971,2018
Breaking Dawn,Stephenie Meyer,3.72,1544376,2008
Midnight Sun,Stephenie Meyer,3.72,194655,2020
Fallen,Lauren Kate,3.72,553649,2009
Would Like to Meet,Rachel Winters,3.72,19515,2019
"Will Grayson, Will Grayson",John Green,3.72,378446,2010
Hate to Want You,Alisha Rai,3.72,6516,2017
The Siren,Kiera Cass,3.72,76367,2009
Girl Gone Viral,Alisha Rai,3.72,10713,2020
The Intimacy Experiment,Rosie Danan,3.71,15730,2021
A Pho Love Story,Loan Le,3.71,15200,2021
Let it Snow,John Green,3.71,136871,2008
Below Zero,Ali Hazelwood,3.71,38828,2022
Stuck with You,Ali Hazelwood,3.71,48423,2022
After,K.A. Tucker,3.71,263884,2014
Husband Material,Alexis  Hall,3.71,12169,2022
Love Lettering,Kate Clayborn,3.7,39426,2019
You Had Me at Hola,Alexis Daria,3.7,32398,2020
Nick & Norah's Infinite Playlist,Rachel Cohn,3.7,83459,2006
Tempting the Best Man,J. Lynn,3.69,33510,2012
The Secret History of the Pink Carnation,Lauren Willig,3.69,22581,2004
Weather Girl,Rachel Lynn Solomon,3.69,25101,2022
When Dimple Met Rishi,Sandhya Menon,3.69,52486,2017
Wicked Lovely,Melissa Marr,3.69,162190,2007
Payback's a Witch,Lana  Harper,3.69,15882,2021
"Pride, Prejudice, and Other Flavors",Sonali Dev,3.69,15208,2019
Ice Planet Barbarians,Ruby Dixon,3.68,75411,2015
Credence,Penelope Douglas,3.68,102715,2020
Confessions of a Shopaholic,Sophie Kinsella,3.68,705542,2000
The Roughest Draft,Emily Wibberley,3.67,26355,2022
Emergency Contact,Mary H.K. Choi,3.67,38653,2018
The Heir,Kiera Cass,3.67,300177,2015
My True Love Gave to Me: Twelve Holiday Stories,Stephanie Perkins,3.67,39069,2014
This Is What Happy Looks Like,Jennifer E. Smith,3.67,50009,2013
Much Ado About You,Samantha Young,3.67,15445,2021
Opposite of Always,Justin A. Reynolds,3.67,22288,2019
Something to Talk About,Meryl Wilsner,3.66,19263,2020
The Dating Plan,Sara Desai,3.66,34929,2021
Shipped,Angie Hockman,3.66,51696,2021
Cruel Beauty,Rosamund Hodge,3.66,87119,2014
Fifty Shades of Grey,E.L. James,3.66,2327268,2011
The Secrets of Sir Richard Kenworthy,Julia Quinn,3.66,18785,2015
The Bridges of Madison County,Robert James Waller,3.66,89660,1992
The Right Swipe,Alisha Rai,3.65,21234,2019
The Upside of Falling,Alex Light,3.65,63660,2020
The Ugly Duchess,Eloisa James,3.65,13514,2012
The Roommate,Rosie Danan,3.65,76613,2020
The Crown,Kiera Cass,3.65,223841,2016
The Geography of You and Me,Jennifer E. Smith,3.65,33598,2014
Fix Her Up,Tessa Bailey,3.65,93869,2019
Meet Me in the Margins,Melissa    Ferguson,3.64,17452,2022
Love Story,Erich Segal,3.64,57475,1970
Dating You / Hating You,Christina Lauren,3.63,27840,2017
Matched,Ally Condie,3.63,732124,2010
The Road Trip,Beth O'Leary,3.61,63228,2021
The Holiday Swap,Maggie Knox,3.61,36104,2021
Allegiant,Veronica Roth,3.61,961821,2013
Bridget Jones: The Edge of Reason,Helen Fielding,3.6,107531,1999
The Wedding Date,Jasmine Guillory,3.6,124943,2018
Eligible: A Modern Retelling of Pride & Prejudice,Curtis Sittenfeld,3.6,83519,2016
"Eat, Pray, Love",Elizabeth Gilbert,3.6,1638005,2006
Good Girl Complex,Elle Kennedy,3.6,39196,2022
Once Upon a Winter's Eve,Tessa Dare,3.59,11582,2011
"Beautiful World, Where Are You",Sally Rooney,3.59,250892,2021
Second First Impressions,Sally  Thorne,3.59,60023,2021
Evermore,Alyson Noel,3.59,282408,2009
The Boyfriend Project,Farrah Rochon,3.58,14233,2020
New Moon,Stephenie Meyer,3.57,1734961,2006
The Tourist Attraction,Sarah Morgenthaler,3.56,24886,2020
Austenland,Shannon Hale,3.55,86635,2007
The Ex Hex,Erin Sterling,3.55,93853,2021
Desperate Measures,Katee Robert,3.55,27506,2019
Reached,Ally Condie,3.55,157531,2012
Wintersong,S. Jae-Jones,3.54,29627,2017
Landline,Rainbow Rowell,3.54,161979,2014
The Marriage Game,Sara Desai,3.53,14635,2020
Crossed,Ally Condie,3.52,234069,2011
Lady Chatterley's Lover,D.H. Lawrence,3.51,111798,1928
Waiting for Tom Hanks,Kerry Winfrey,3.51,23413,2019
To Love and to Loathe,Martha Waters,3.51,11074,2021
Royal Holiday,Jasmine Guillory,3.5,35927,2019
The Proposal,Jane Austen,3.49,100627,2018
Shades of Milk and Honey,Mary Robinette Kowal,3.49,15908,2010
Wedding Night,Sophie Kinsella,3.45,90221,2013
99 Percent Mine,Sally  Thorne,3.39,69346,2019
