title,author_name,rating,ratings,year
Hopeless,Colleen Hoover,4.29,383899,2012
Things We Never Got Over,Lucy Score,4.29,175869,2022
The Risk,S.T. Abby,4.29,73865,2016
The Love Hypothesis,Ali Hazelwood,4.29,724017,2021
The Blue Castle,L.M. Montgomery,4.29,36734,1926
City of Glass,Cassandra Clare,4.29,901506,2009
From Blood and Ash,Jennifer L. Armentrout,4.29,325849,2020
Dark Needs at Night's Edge,Kresley Cole,4.29,49180,2008
The Will,Kristen Ashley,4.29,29046,2014
Kiss the Sky,Krista Ritchie,4.29,47515,2014
Losing Hope,Colleen Hoover,4.29,135445,2013
Him,Sarina Bowen,4.29,47672,2015
One Foot in the Grave,Jeaniene Frost,4.29,101508,2008
Howl’s Moving Castle,Diana Wynne Jones,4.28,284025,1986
Sustained,Emma Chase,4.28,29349,2015
Immortal in Death,J.D. Robb,4.28,51583,1996
Tower of Dawn,Sarah J. Maas,4.28,246170,2017
Lead,Kylie Scott,4.28,47155,2014
Strange the Dreamer,Laini Taylor,4.28,107451,2017
Better Than the Movies,Lynn Painter,4.27,56775,2021
The Sweet Gum Tree,Katherine Allred,4.27,29341,2005
The Dark Highlander,Karen Marie Moning,4.27,36922,2002
Glory in Death,J.D. Robb,4.27,59298,1995
Spell of the Highlander,Karen Marie Moning,4.27,26290,2005
The Deal,Elle Kennedy,4.27,431337,2015
The Wall of Winnipeg and Me,Mariana Zapata,4.27,181562,2016
Hunting Ground,Patricia Briggs,4.27,66592,2009
No Rest for the Wicked,Kresley Cole,4.27,56303,2006
Terms and Conditions,Lauren Asher,4.27,78931,2022
Twice Tempted,Jeaniene Frost,4.26,41696,2013
Addicted for Now,Krista Ritchie,4.26,42708,2013
The Gamble,Kristen Ashley,4.26,57504,2011
Opal,Jennifer L. Armentrout,4.26,143863,2012
Branded by Fire,Nalini Singh,4.26,31242,2009
Driven,K. Bromberg,4.26,59370,2013
Managed,Kristen Callihan,4.26,31104,2016
The Princess Bride,William Goldman,4.26,852415,1973
Me Before You,Jojo Moyes,4.26,1436094,2012
Scarlet,Marissa Meyer,4.26,377397,2013
This Side of the Grave,Jeaniene Frost,4.26,61607,2011
Saving Grace,Julie Garwood,4.25,26972,1993
Until You,Penelope Douglas,4.25,48336,2013
The Raven King,Maggie Stiefvater,4.25,129859,2016
Bloodfever,Karen Marie Moning,4.25,103842,2007
The Secret,Julie Garwood,4.25,49646,1992
Lovely War,Julie Berry,4.25,44230,2019
Onyx,Jennifer L. Armentrout,4.25,171763,2012
Illuminae,Amie Kaufman,4.25,141918,2015
Outlander,Diana Gabaldon,4.25,957461,1991
The Fiery Cross,Diana Gabaldon,4.24,195915,2001
Rebecca,Daphne du Maurier,4.24,556837,1938
Devil in Winter,Lisa Kleypas,4.24,77013,2006
Point of Retreat,Colleen Hoover,4.24,163696,2012
Prodigy,Marie Lu,4.24,241293,2013
Daisy Jones & The Six,Taylor Jenkins Reid,4.24,740691,2019
Valley of Silence,Nora Roberts,4.24,28563,2006
The Bride,Julie Garwood,4.23,62543,1989
Twisted Perfection,Abbi Glines,4.23,66094,2013
City of Lost Souls,Cassandra Clare,4.23,493192,2012
Honor's Splendour,Julie Garwood,4.23,31123,1987
The ​Crown of Gilded Bones,Jennifer L. Armentrout,4.23,160403,2021
Play of Passion,Nalini Singh,4.23,27951,2010
Night Embrace,Sherrilyn Kenyon,4.23,58839,2003
The Dream Thieves,Maggie Stiefvater,4.22,182623,2013
Egomaniac,Vi Keeland,4.22,44747,2017
Beauty from Pain,Georgia Cates,4.22,55542,2013
The Edge of Never,J.A. Redmerski,4.22,146564,2012
Regretting You,Colleen Hoover,4.22,287156,2019
Ugly Love,Colleen Hoover,4.22,929379,2014
The Invisible Life of Addie LaRue,V.E. Schwab,4.22,686794,2020
Slammed,Colleen Hoover,4.22,254688,2012
